,,,,,,,,,,
,Manometer,MNM-01,*MNM-01*,31100287,Functioning,,AMTEC UPLB,,OFFICE,
,Manometer,MNM-02,*MNM-02*,31100428,Functioning,,AMTEC UPLB,AFBED,OFFICE,
,Manometer,MNM-03,*MNM-03*,437-8931 5706261693,Functioning,,AMTEC UPLB,,OFFICE,
,Manometer,MNM-04,*MNM-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Manometer,MNM-06,*MNM-06*,437-8931 5706261702,Functioning,,AMTEC UPLB,,OFFICE,
,Manometer,MNM-05,*MNM-05*,437-8931 5706261676,Functioning,Broken port,Borrowed,,OTHERS,
,Measuring Tape,AMD property,*AMD property*,,Functioning,no battery,On trip,,OFFICE,
,Measuring Tape,LT-01,*LT-01*,,Functioning,no battery,On trip,,OFFICE,
,Measuring Tape,LT-02,*LT-02*,,Functioning,Missing tape portion,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-03,*LT-03*,,Functioning,Missing winder,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-04,*LT-04*,,Functioning,Missing tape portion,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-05,*LT-05*,,Functioning,Missing tape portion,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-06,*LT-06*,,Functioning,Missing tape portion,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-07,*LT-07*,,Functioning,Missing tape portion,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-08,*LT-08*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-09,*LT-09*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-10,*LT-10*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-11,*LT-11*,,Functioning,"Missing tape portion, do not use",On trip,,OFFICE,
,Measuring Tape,LT-12,*LT-12*,,Functioning,"Missing tape portion, do not use",AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-13,*LT-13*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-14,*LT-14*,,Functioning,,On trip,,OFFICE,
,Measuring Tape,LT-15,*LT-15*,,Functioning,do not use,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-16,*LT-16*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-17,*LT-17*,,Functioning,do not use,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-18,*LT-18*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-19,*LT-19*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-20,*LT-20*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-21,*LT-21*,,Functioning,,On trip,,OFFICE,
,Measuring Tape,LT-22,*LT-22*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-23,*LT-23*,,Functioning,,On trip,,OFFICE,
,Measuring Tape,LT-24,*LT-24*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-25,*LT-25*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-26,*LT-26*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-27,*LT-27*,,Functioning,,AMTEC UPLB,,OFFICE,
,Measuring Tape,LT-28,*LT-28*,,Functioning,,AMTEC UPLB,,OFFICE,
,Micrometer,-,,,Functioning,,AMTEC UPLB,,OFFICE,
,Metal Analyzer,MA-01,*MA-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Metal Analyzer,MA-02,*MA-02*,500N110013,Functioning,,On trip,,OFFICE,
,Metal Analyzer,MA-03,*MA-03*,,Functioning,,AMTEC Visayas,,FCP,
,Multimeter,MM-01,*MM-01*,16055100009,Functioning,,AMTEC Mindanao,,GRAIN LAB,
,Multimeter,MM-02,*MM-02*,1605510020,Functioning,No battery,AMTEC UPLB,,OFFICE,
,Multimeter,MM-02,*MM-02*,16055100018,Functioning,,AMTEC UPLB,,OFFICE,
,Multimeter,MM-03,*MM-03*,16055100019,For Repair,,AMTEC UPLB,,OFFICE,
,Multimeter,MM-04,*MM-04*,8204266,For Repair,,AMTEC UPLB,,OFFICE,
,Multimeter,MM-05,*MM-05*,8204137,Functioning,,AMTEC UPLB,,MECH LAB,
,Multimeter,MM-06,*MM-06*,8204138,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-01,*CM-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-02,*CM-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-03,*CM-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-04,*CM-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-05,*CM-05*,19115100675,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-06,*CM-06*,,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-07,*CM-07*,53030136WS,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-08,*CM-08*,53030141WS,Functioning,,On trip,,OFFICE,
,Power Meter,CM-09,*CM-09*,,Functioning,,On trip,,OFFICE,
,Power Meter,CM-10,*CM-10*,Z338770,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-11,*CM-11*,201900277586,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-12,*CM-12*,51560008WS,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-13,*CM-13*,51560001WS,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-14,*CM-14*,20035100888,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-15,*CM-15*,58420044WS,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-16,*CM-16*,51700251WS,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,CM-17,*CM-17*,51700203WS,For Repair,battery terminal,AMTEC UPLB,,OFFICE,
,Power Meter,CM-18,*CM-18*,58070025WS,Functioning,,On trip,,OFFICE,
,Power Meter,CM-19,*CM-19*,51700254WS,Functioning,,On trip,,OFFICE,
,Power Meter,"EL-01A
EL-01B","*EL-01A
EL-01B*",56474247,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,"EL-02A
EL-02B","*EL-02A
EL-02B*",60494223,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,"EL-03A
EL-03B","*EL-03A
EL-03B*",60464202,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,"EL-04A
EL-04B","*EL-04A
EL-04B*",60494209,Functioning,,AMTEC UPLB,,OFFICE,
,Power Meter,"EL-05A
EL-05B","*EL-05A
EL-05B*",57314413,Functioning,,AMTEC UPLB,,OFFICE,
,Psychrometer,PSY-01,*PSY-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,"Pyranometer
 Reader/Logger","PM-01A
PM-01B","*PM-01A
PM-01B*","47726
16110668",Functioning,,AMTEC UPLB,,OFFICE,
,Pyranometer,PM-02,*PM-02*,2525,Functioning,to be paired with Thies Clima Handylog,AMTEC UPLB,,OFFICE,
,"Pyranometer
 Reader/Logger","PM-03A
PM-03B","*PM-03A
PM-03B*","LM2-6520
108448",Functioning,,AMTEC UPLB,,OFFICE,
,"Pyranometer
 Adapter","PM-04A
PM-04B","*PM-04A
PM-04B*",111101,Functioning,,AMTEC UPLB,,OFFICE,
,"Pyranometer
 Reader/Logger","PM-05A
PM-05B","*PM-05A
PM-05B*","LM2-7182
110757",Functioning,to be paired with PM-02,AMTEC UPLB,,OFFICE,
,Pyranometer,PM-06,*PM-06*,71324,Functioning,no battery,AMTEC UPLB,Note: Reader is in AMTEC Visayas,OFFICE,
,Pyranometer Logger,PM-07,*PM-07*,"02010919
03220004",Functioning,,AMTEC UPLB,,OFFICE,
,"Pyranometer
 Reader/Logger",RAED IV-A,*RAED IV-A*,,Functioning,no battery,AMTEC UPLB,,OFFICE,
,"Pyranometer
 Reader/Logger",PM-08,*PM-08*,"LM2-7615
112758",Functioning,,AMTEC UPLB,,OFFICE,
,"Pyranometer
 Reader/Logger",PM-09,*PM-09*,"LM2-7614
112756",Functioning,,AMTEC UPLB,,OFFICE,
,"Pyranometer
 Reader/Logger",PM-10,*PM-10*,"LM2-7616
112759",Functioning,,AMTEC UPLB,,OFFICE,
,"Pyranometer
 Reader/Logger",PM-11,*PM-11*,"LM2-7613
112757",Functioning,,AMTEC UPLB,,OFFICE,
,"Pyranometer
 Reader/Logger",PM-12,*PM-12*,"2553
1560FNFGI7D1",Functioning,,AMTEC UPLB,,OFFICE,
,Rangefinder,RF-01,*RF-01*,2019K001341,Functioning,,AMTEC UPLB,,OFFICE,
,Rangefinder,RF-02,*RF-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Ruler,,,,Functioning,,AMTEC UPLB,,OFFICE,
,Soil Moisture Meter,SMM-01,*SMM-01*,T35011240,Functioning,,AMTEC UPLB,,OFFICE,
,Soil Moisture Meter,SMM-02,*SMM-02*,T35011238,Functioning,,AMTEC UPLB,,OFFICE,
,Soil Moisture Meter,SMM-03,*SMM-03*,T35011239,Functioning,,AMTEC UPLB,,OFFICE,
,Soil Penetrometer,SP-01,*SP-01*,3740,For Repair,no reading,AMTEC UPLB,,OFFICE,
,Soil Penetrometer,SP-02,*SP-02*,3975,Functioning,,AMTEC UPLB,,OFFICE,
,Soil Penetrometer,SP-03,*SP-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Soil Penetrometer,SP-04,*SP-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Soil Penetrometer,SP-05,*SP-05*,3975,Functioning,,AMTEC UPLB,,OFFICE,
,Soil Penetrometer,SP-06,*SP-06*,3950,For Repair,damaged screen,AMTEC UPLB,,OFFICE,
,Soil Penetrometer,SP-07,*SP-07*,3964,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-01,*SLM-01*,160127,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-02,*SLM-02*,160195,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-03,*SLM-03*,160185,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-04,*SLM-04*,160136,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-05,*SLM-05*,,For Condemning,Missing wind screen,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-06,*SLM-06*,161001846,Functioning,for retagging; damaged LCD,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-07,*SLM-07*,180901915,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-08,*SLM-08*,200305015,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-09,*SLM-09*,45860370,Functioning,for retagging,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-10,*SLM-10*,211202647,Functioning,for retagging,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-11,*SLM-11*,211202648,For Condemning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-12,*SLM-12*,210701195,For Repair,rechargable battery,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-13,*SLM-13*,211202651,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-14,*SLM-14*,65100400,Functioning,,On trip,,OFFICE,
,Sound Level Meter,SLM-15,*SLM-15*,65100399,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter,SLM-16,*SLM-16*,64200175,Functioning,,On trip,,OFFICE,
,Sound Level Meter,SLM-17,*SLM-17*,64200177,Functioning,,On trip,,OFFICE,
,Sound Level Meter,SLM-18,*SLM-18*,64200180,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter Calibrator,SLC-01,*SLC-01*,73295,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter Calibrator,SLC-02,*SLC-02*,160400027,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter Calibrator,SLC-03,*SLC-03*,230400067,Functioning,,AMTEC UPLB,,OFFICE,
,Sound Level Meter Calibrator,SLC-04,*SLC-04*,230400073,Functioning,,AMTEC UPLB,,OFFICE,
,Steel Tape,ST-01,*ST-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Steel Tape,ST-02,*ST-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Steel Tape,ST-03,*ST-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Steel Tape,ST-04,*ST-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Steel Tape,ST-05,*ST-05*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-01,*SW-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-02,*SW-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-03,*SW-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-04,*SW-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-05,*SW-05*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-06,*SW-06*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-07,*SW-07*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-08,*SW-08*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-09,*SW-09*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-10,*SW-10*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-11,*SW-11*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-12,*SW-12*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-13,*SW-13*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-14,*SW-14*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-15,*SW-15*,,Functioning,di na ma-reset,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-16,*SW-16*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-17,*SW-17*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-18,*SW-18*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-19,*SW-19*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-20,*SW-20*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-21,*SW-21*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-22,*SW-22*,,Functioning,,On trip,,OFFICE,
,Stopwatch,SW-23,*SW-23*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-24,*SW-24*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-25,*SW-25*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-26,*SW-26*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-27,*SW-27*,,Functioning,,On trip,,OFFICE,
,Stopwatch,SW-28,*SW-28*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-29,*SW-29*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-30,*SW-30*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-31,*SW-31*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-32,*SW-32*,,Functioning,for retagging,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-33,*SW-33*,,Functioning,for retagging,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-34,*SW-34*,,Functioning,,On trip,,OFFICE,
,Stopwatch,SW-35,*SW-35*,,Functioning,,On trip,,OFFICE,
,Stopwatch,SW-36,*SW-36*,,Functioning,,AMTEC UPLB,,OFFICE,
,Stopwatch,SW-37,*SW-37*,,Functioning,,On trip,,OFFICE,
,Stopwatch,SW-38,*SW-38*,,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-01,*TM-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-02,*TM-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-03,*TM-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-04,*TM-04*,,Functioning,Missing case; detached wiring,AMTEC UPLB,,OFFICE,
,Tachometer,TM-05,*TM-05*,,Functioning,for retagging,AMTEC UPLB,,OFFICE,
,Tachometer,TM-06,*TM-06*,1P151232489,Functioning,Missing contact attachment,AMTEC UPLB,,OFFICE,
,Tachometer,TM-07,*TM-07*,,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-08,*TM-08*,,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-09,*TM-09*,,Functioning,,On trip,,OFFICE,
,Tachometer,TM-10,*TM-10*,,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-11,*TM-11*,,Functioning,no battery,AMTEC UPLB,,OFFICE,
,Tachometer,TM-12,*TM-12*,,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,AMD property,*AMD property*,I 353446,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-13,*TM-13*,"2044026
5162025",Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-14,*TM-14*,G221003,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-15,*TM-15*,G221004,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-16,*TM-16*,G221002,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-17,*TM-17*,G221001,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-18,*TM-18*,G221005,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-19,*TM-19*,D221003,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-20,*TM-20*,D221001,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-21,*TM-21*,D221002,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-22,*TM-22*,D221005,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-23,*TM-23*,D221004,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-24,*TM-24*,T221103,Functioning,,On trip,,OFFICE,
,Tachometer,TM-25,*TM-25*,T221105,Functioning,,AMTEC UPLB,,OFFICE,
,Tachometer,TM-26,*TM-26*,T221104,Functioning,,On trip,,OFFICE,
,Tachometer,TM-27,*TM-27*,T221101,For Calibration,incorrect reading,AMTEC UPLB,,OFFICE,
,Tachometer,TM-28,*TM-28*,T221102,Functioning,,AMTEC UPLB,,OFFICE,
,Temp-RH Data Logger,DL-01,*DL-01*,65030648,Functioning,,AMTEC UPLB,,OFFICE,
,Temp-RH Data Logger,DL-02,*DL-02*,65064730,Functioning,,AMTEC UPLB,,OFFICE,
,Temp-RH Data Logger,DL-03,*DL-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Temp-RH Data Logger,DL-04,*DL-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Temp-RH Data Logger,DL-05,*DL-05*,,Functioning,,AMTEC UPLB,,OFFICE,
,Temp-RH Data Logger,DL-06,*DL-06*,10013132,Functioning,,AMTEC UPLB,,OFFICE,
,Temperature Data Logger/Thermometer,AMD property,*AMD property*,43230120WS,Functioning,,On trip,,OFFICE,
,Thermocouple Data Logger,DLC-01,*DLC-01*,40053030,Functioning,,AMTEC UPLB,,OFFICE,
,Thermocouple Data Logger,TML-01,*TML-01*,T525808,Functioning,,AMTEC UPLB,,OFFICE,
,Thermocouple Data Logger,TML-02,*TML-02*,525791,Functioning,,AMTEC UPLB,,OFFICE,
,Thermocouple Data Logger,TML-03,*TML-03*,,Functioning,no reader,AMTEC UPLB,,OFFICE,
,Thermocouple Data Logger,TML-04,*TML-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Thermocouple Data Logger,TML-05,*TML-05*,04681-7271001,Functioning,,AMTEC UPLB,,OFFICE,
,Thermocouple Data Logger,TML-06,*TML-06*,0102-01990,For Repair,Ports need repairing,AMTEC UPLB,,OFFICE,
,Temperature Data Logger/Thermometer,TML-07,*TML-07*,47570687WS,For Repair,"CAL Err, Battery port",AMTEC UPLB,,OFFICE,
,Thermocouple Data Logger,TML-08,*TML-08*,201006085,Functioning,,On trip,,OFFICE,
,Thermocouple Data Logger,TML-09,*TML-09*,HLEHTC1599,Functioning,,AMTEC UPLB,,OFFICE,
,Temperature Data Logger/Thermometer,TML-10,*TML-10*,57090244WS,Functioning,,AMTEC UPLB,,OFFICE,
,Temperature Data Logger/Thermometer,TML-11,*TML-11*,58490007WS,Functioning,for retagging,AMTEC UPLB,,OFFICE,
,Temperature Data Logger/Thermometer,TML-12,*TML-12*,58290037WS,Functioning,for retagging,AMTEC UPLB,,OFFICE,
,Temperature Data Logger/Thermometer,TML-13,*TML-13*,58290040WS,Functioning,,AMTEC UPLB,,OFFICE,
,Temperature Data Logger/Thermometer,TML-14,*TML-14*,58490008WS,Functioning,,On trip,,OFFICE,
,Temperature Data Logger/Thermometer,TML-15,*TML-15*,61770062WS,Functioning,,AMTEC UPLB,,OFFICE,
,Transceiver,TR-01,*TR-01*,50075358-1,Functioning,,AMTEC UPLB,,OFFICE,
,Transceiver,TR-02,*TR-02*,50075348-4,Functioning,,AMTEC UPLB,,OFFICE,
,Transceiver,TR-03,*TR-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Transceiver,TR-04,*TR-04*,,Functioning,,On trip,,OFFICE,
,Transceiver,TR-05,*TR-05*,,Functioning,,AMTEC UPLB,,OFFICE,
,Transceiver,TR-06,*TR-06*,,Functioning,Missing clip,On trip,,OFFICE,
,Transceiver Charger,TRC-01,*TRC-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Transceiver Charger,TRC-02,*TRC-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Transceiver Charger,TRC-03,*TRC-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Transceiver Charger,-,,,Functioning,,AMTEC UPLB,,OFFICE,
,Universal Battery Charger,UBC-01,*UBC-01*,,Functioning,,AMTEC UPLB,,OFFICE,
,Universal Battery Charger,UBC-02,*UBC-02*,,Functioning,,AMTEC UPLB,,OFFICE,
,Universal Battery Charger,UBC-03,*UBC-03*,,Functioning,,AMTEC UPLB,,OFFICE,
,Vibration Meter,VM-01,*VM-01*,25623010218,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-01,*WS-01*,13902059739,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-02,*WS-02*,,For Repair,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-03,*WS-03*,13903095949,Functioning,,On trip,,OFFICE,
,Weighing Scale,WS-04,*WS-04*,,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-05,*WS-05*,,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-06,*WS-06*,,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-07,*WS-07*,,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-08,*WS-08*,,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-09,*WS-09*,,Functioning,White (for tagging),AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-10,*WS-10*,,Functioning,DS-01 (for tagging),AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-11,*WS-11*,GSL00006,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-12,*WS-12*,GSL00003,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-13,*WS-13*,GSL00007,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-14,*WS-14*,CCL00004,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-15,*WS-15*,CCL00031,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-16,*WS-16*,CCL00033,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-17,*WS-17*,CCL00027,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-18,*WS-18*,CCL00030,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-19,*WS-19*,AE9CQ46050,Functioning,,AMTEC UPLB,,OFFICE,
,Weighing Scale,WS-20,*WS-20*,AE9CQ44485,Functioning,,AMTEC Mindanao,,OFFICE,
,Weighing Scale,WS-21,*WS-21*,AE9CQ45909,Functioning,,AMTEC UPLB,,OFFICE,
